,State,Area_Name,pov_all,pov_under17,median_income,no_high_school,no_bachelor,unemployment,pop,n_killed,n_injured,victims_involved,suspects_identified,teen_participants
2,AL,Autauga,14.0,19.0,"54,487",12.4,75.39999999999999,5.2,55035.8,8.0,2.0,14.0,23.0,0.0
3,AL,Baldwin,12.0,18.0,"56,460",10.0,70.5,5.62,203360.0,14.0,2.0,11.0,21.0,0.0
4,AL,Barbour,30.0,40.0,"32,884",26.2,87.1,8.8,26200.8,4.0,0.0,4.0,2.0,0.0
5,AL,Bibb,20.0,28.0,"43,079",19.3,88.0,6.6,22579.6,4.0,3.0,8.0,8.0,0.0
6,AL,Blount,14.0,19.0,"47,213",20.0,86.9,5.36,57666.8,23.0,17.0,35.0,36.0,2.0
7,AL,Bullock,33.0,46.0,"34,278",33.4,89.7,7.6,10478.2,2.0,0.0,4.0,6.0,0.0
8,AL,Butler,25.0,37.0,"35,409",18.9,83.9,7.840000000000001,20126.0,8.0,7.0,15.0,16.0,1.0
9,AL,Calhoun,17.0,26.0,"41,778",17.7,82.4,7.06,115527.2,10.0,5.0,17.0,17.0,2.0
10,AL,Chambers,20.0,33.0,"39,530",19.7,87.5,6.0600000000000005,33893.6,4.0,4.0,8.0,3.0,0.0
11,AL,Cherokee,17.0,28.0,"41,456",18.7,86.1,5.5200000000000005,25855.0,16.0,15.0,39.0,26.0,1.0
12,AL,Chilton,18.0,26.0,"44,188",19.9,85.19999999999999,5.68,43805.4,1.0,6.0,4.0,5.0,0.0
13,AL,Choctaw,23.0,33.0,"32,691",21.1,88.0,8.419999999999998,13188.0,3.0,0.0,3.0,3.0,0.0
15,AL,Clay,19.0,28.0,"38,512",25.4,89.0,6.36,13407.4,10.0,8.0,14.0,13.0,0.0
16,AL,Cleburne,17.0,25.0,"43,483",25.8,88.5,6.16,14939.4,0.0,3.0,2.0,2.0,0.0
17,AL,Coffee,14.0,21.0,"48,632",14.9,76.30000000000001,5.959999999999999,51072.8,1.0,0.0,3.0,3.0,0.0
18,AL,Colbert,17.0,25.0,"46,572",16.6,81.5,7.340000000000001,54434.8,4.0,5.0,8.0,12.0,0.0
19,AL,Conecuh,28.0,44.0,"29,758",20.6,91.4,8.9,12649.4,2.0,5.0,5.0,5.0,0.0
20,AL,Coosa,18.0,29.0,"36,441",27.1,90.1,7.12,10954.6,10.0,11.0,22.0,15.0,1.0
21,AL,Covington,20.0,28.0,"35,010",19.1,85.1,6.9799999999999995,37518.8,5.0,1.0,6.0,2.0,0.0
22,AL,Crenshaw,21.0,29.0,"37,374",21.7,85.30000000000001,6.199999999999999,13865.6,8.0,5.0,12.0,15.0,2.0
23,AL,Cullman,15.0,21.0,"41,543",17.8,85.0,5.299999999999999,81702.6,21.0,25.0,40.0,60.0,4.0
24,AL,Dale,21.0,30.0,"40,523",14.2,84.0,6.139999999999999,49393.2,27.0,28.0,55.0,57.0,4.0
25,AL,Dallas,35.0,58.0,"30,488",21.0,86.3,10.02,40755.0,16.0,11.0,26.0,18.0,4.0
26,AL,DeKalb,21.0,31.0,"37,128",27.4,88.69999999999999,6.220000000000001,71194.0,7.0,13.0,21.0,43.0,2.0
27,AL,Elmore,14.0,20.0,"54,553",13.2,77.69999999999999,5.0600000000000005,80989.2,14.0,12.0,18.0,53.0,8.0
28,AL,Escambia,23.0,31.0,"35,096",19.5,88.3,7.06,37620.6,7.0,4.0,11.0,13.0,2.0
29,AL,Etowah,18.0,27.0,"40,972",17.5,83.4,6.220000000000001,103132.4,4.0,5.0,9.0,17.0,0.0
30,AL,Fayette,20.0,29.0,"38,403",20.8,85.8,6.9,16657.0,5.0,3.0,6.0,4.0,1.0
